ID,Date,ReferenceNumber,Ref4,OneDrivePath,GoogleDriveURL
33844,2015-07-18,Winparts,Winparts 20150718.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\Winparts\Winparts 20150718.png,https://drive.google.com/file/d/1WPKzJv1Ty_J_JYCqq9fARihAF6e8COyo/view?usp=drivesdk
33936,2015-07-18,Winparts,Winparts 20150718.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\Winparts\Winparts 20150718.png,https://drive.google.com/file/d/1WPKzJv1Ty_J_JYCqq9fARihAF6e8COyo/view?usp=drivesdk
34199,2015-09-24,Shabu,Zakenlunch METRI 001.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\Shabu\Zakenlunch METRI 001.jpg,https://drive.google.com/file/d/1RchSo22p1tlsOqImFZ65QtTijTRDRUZj/view?usp=drivesdk
34200,2015-09-24,Shabu,Zakenlunch METRI 001.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\Shabu\Zakenlunch METRI 001.jpg,https://drive.google.com/file/d/1RchSo22p1tlsOqImFZ65QtTijTRDRUZj/view?usp=drivesdk
34201,2015-09-25,USG,Zakenlunch USG 001.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\USG\Zakenlunch USG 001.jpg,https://drive.google.com/file/d/1_GoaF0q_Cwz0-_LCDeJlr0aT9ieC5TSI/view?usp=drivesdk
34202,2015-09-25,USG,Zakenlunch USG 001.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\USG\Zakenlunch USG 001.jpg,https://drive.google.com/file/d/1_GoaF0q_Cwz0-_LCDeJlr0aT9ieC5TSI/view?usp=drivesdk
34354,2015-10-01,Incoming Invoices,Zakenlunch Portbase.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\Incoming Invoices\Zakenlunch Portbase.jpg,https://drive.google.com/file/d/1qLvFtXDFbsjJjuVar-vYoahRaM6Vo6AF/view?usp=drivesdk
34355,2015-10-01,Incoming Invoices,Zakenlunch Portbase.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\Incoming Invoices\Zakenlunch Portbase.jpg,https://drive.google.com/file/d/1qLvFtXDFbsjJjuVar-vYoahRaM6Vo6AF/view?usp=drivesdk
34486,2015-10-31,MABI,MABI 001.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\MABI\MABI 001.jpg,https://drive.google.com/file/d/1KV2MoIOSDWd0YWOKWZ51NMAN8q2O16GR/view?usp=drivesdk
34487,2015-10-31,MABI,MABI 001.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\MABI\MABI 001.jpg,https://drive.google.com/file/d/1KV2MoIOSDWd0YWOKWZ51NMAN8q2O16GR/view?usp=drivesdk
34488,2015-05-21,Super Rally,Nw belt SR 2015 002.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\WestCoast GG\Nw belt SR 2015 002.jpg,https://drive.google.com/file/d/1hpJzn3nChqOn-MInGpBbGTJku25kqdvO/view?usp=drivesdk
34489,2015-05-21,Super Rally,Nw belt SR 2015 002.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\WestCoast GG\Nw belt SR 2015 002.jpg,https://drive.google.com/file/d/1hpJzn3nChqOn-MInGpBbGTJku25kqdvO/view?usp=drivesdk
34693,2015-12-05,WestCoast Motors,FLHR Westcoast 2016.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\WestCoast Motors\FLHR Westcoast 2016.jpg,https://drive.google.com/file/d/14LBSp_yxoDIipPhn_3-xWL7lDG9i89b9/view?usp=drivesdk
34694,2015-12-05,WestCoast Motors,FLHR Westcoast 2016.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\WestCoast Motors\FLHR Westcoast 2016.jpg,https://drive.google.com/file/d/14LBSp_yxoDIipPhn_3-xWL7lDG9i89b9/view?usp=drivesdk
34695,2015-12-05,WestCoast Motors,FLHR Westcoast 2016.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\WestCoast Motors\FLHR Westcoast 2016.jpg,https://drive.google.com/file/d/14LBSp_yxoDIipPhn_3-xWL7lDG9i89b9/view?usp=drivesdk
34696,2016-12-05,WestCoast Motors,FLHR Westcoast 2016.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\WestCoast Motors\FLHR Westcoast 2016.jpg,https://drive.google.com/file/d/14LBSp_yxoDIipPhn_3-xWL7lDG9i89b9/view?usp=drivesdk
34697,2015-09-15,MM Hoofddorp,HP printer 2015.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\MM Hoofddorp\HP printer 2015.jpg,https://drive.google.com/file/d/1X1k6tLA6k0TtkrLKgfdjPoobN_hAQYnH/view?usp=drivesdk
34698,2015-09-15,MM Hoofddorp,HP printer 2015.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\MM Hoofddorp\HP printer 2015.jpg,https://drive.google.com/file/d/1X1k6tLA6k0TtkrLKgfdjPoobN_hAQYnH/view?usp=drivesdk
34699,2015-10-30,Mes Amis,MesAmis ZakenLunch 2015010.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\Mes Amis\MesAmis ZakenLunch 2015010.jpg,https://drive.google.com/file/d/12I5ddykPz1_gwWuFInXNrdkJsTcvMqfS/view?usp=drivesdk
34700,2015-10-30,Mes Amis,MesAmis ZakenLunch 2015010.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\Mes Amis\MesAmis ZakenLunch 2015010.jpg,https://drive.google.com/file/d/12I5ddykPz1_gwWuFInXNrdkJsTcvMqfS/view?usp=drivesdk
34701,2015-11-09,Ringfoto,"Bock, Ringfoto, Olympus 20151209.jpg","C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\Ringfoto\Bock, Ringfoto, Olympus 20151209.jpg",https://drive.google.com/file/d/1efmFTDFjnuM32GBjJXSP_4ahf15DfAyM/view?usp=drivesdk
34702,2015-11-09,Ringfoto,"Bock, Ringfoto, Olympus 20151209.jpg","C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2015\Ringfoto\Bock, Ringfoto, Olympus 20151209.jpg",https://drive.google.com/file/d/1efmFTDFjnuM32GBjJXSP_4ahf15DfAyM/view?usp=drivesdk
34816,2016-01-10,Conrad,conrad 20160110a.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\Conrad\conrad 20160110a.png,https://drive.google.com/file/d/1klJIyL16YyYxxtwo6MpqBc23IHYmU5gb/view?usp=drivesdk
34817,2016-01-10,Conrad,conrad 20160110a.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\Conrad\conrad 20160110a.png,https://drive.google.com/file/d/1klJIyL16YyYxxtwo6MpqBc23IHYmU5gb/view?usp=drivesdk
34941,2016-01-10,Conrad,conrad 20160110b.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\Conrad\conrad 20160110b.png,https://drive.google.com/file/d/1H7JPog6hQYB0VfqiMhUP2lvolWqCcr83/view?usp=drivesdk
34942,2016-01-10,Conrad,conrad 20160110b.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\Conrad\conrad 20160110b.png,https://drive.google.com/file/d/1H7JPog6hQYB0VfqiMhUP2lvolWqCcr83/view?usp=drivesdk
35067,2016-01-10,Conrad,conrad 20160110b.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\Conrad\conrad 20160110b.png,https://drive.google.com/file/d/1H7JPog6hQYB0VfqiMhUP2lvolWqCcr83/view?usp=drivesdk
35071,2016-01-26,55-MG-HN,FLHR 2016 Wegenbelasting.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\55-MG-HN\FLHR 2016 Wegenbelasting.jpg,https://drive.google.com/file/d/14_fvnqWLA6H3-xfVoSiUzaI3_hrYkgYA/view?usp=drivesdk
35218,2016-03-07,MM Hoofddorp,Mediamarkt 20160307.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\MM Hoofddorp\Mediamarkt 20160307.jpg,https://drive.google.com/file/d/1Zb3AvdAtMEgbFh7qdk5f7wEawBmXHZD6/view?usp=drivesdk
35219,2016-03-07,MM Hoofddorp,Mediamarkt 20160307.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\MM Hoofddorp\Mediamarkt 20160307.jpg,https://drive.google.com/file/d/1Zb3AvdAtMEgbFh7qdk5f7wEawBmXHZD6/view?usp=drivesdk
35226,2016-03-15,De Zeeuw,zeeuw rechtsbijstand 2016.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\De Zeeuw\zeeuw rechtsbijstand 2016.jpg,https://drive.google.com/file/d/1-gfuwGyvxGjkUlZjITZ1IPpPEbyAy2yQ/view?usp=drivesdk
35555,2016-04-25,De Zeeuw,zeeuw rechtsbijstand 2016.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\De Zeeuw\zeeuw rechtsbijstand 2016.jpg,https://drive.google.com/file/d/1-gfuwGyvxGjkUlZjITZ1IPpPEbyAy2yQ/view?usp=drivesdk
35457,2016-04-16,Hobbygigant.nl,Hobbygigant  20160416.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\Hobbygigant.nl\Hobbygigant  20160416.png,https://drive.google.com/file/d/1Lwksxhw_GdIV2jeczBAqXxUpEJQLjRWS/view?usp=drivesdk
35458,2016-04-16,Hobbygigant.nl,Hobbygigant  20160416.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\Hobbygigant.nl\Hobbygigant  20160416.png,https://drive.google.com/file/d/1Lwksxhw_GdIV2jeczBAqXxUpEJQLjRWS/view?usp=drivesdk
35468,2016-04-19,WestCoast Motors,WestCoast 20160419.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\WestCoast Motors\WestCoast 20160419.jpg,https://drive.google.com/file/d/1Db_fx0xwKIzdcpPQLoKJ7dbe5jbtOKlG/view?usp=drivesdk
35471,2016-04-19,WestCoast Motors,WestCoast 20160419.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\WestCoast Motors\WestCoast 20160419.jpg,https://drive.google.com/file/d/1Db_fx0xwKIzdcpPQLoKJ7dbe5jbtOKlG/view?usp=drivesdk
35551,2016-04-17,OFM,OFM  20160417.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\OFM\OFM  20160417.png,https://drive.google.com/file/d/1heamDPIHi___n1HvqKX6IHynp5AHYY7e/view?usp=drivesdk
35587,2016-04-17,OFM,OFM  20160417.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\OFM\OFM  20160417.png,https://drive.google.com/file/d/1heamDPIHi___n1HvqKX6IHynp5AHYY7e/view?usp=drivesdk
35588,2016-04-07,OFM,OFM  20160417.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\OFM\OFM  20160417.png,https://drive.google.com/file/d/1heamDPIHi___n1HvqKX6IHynp5AHYY7e/view?usp=drivesdk
35803,2016-06-17,WestCoast Motors,WestCoast 20160617.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\WestCoast Motors\WestCoast 20160617.jpg,https://drive.google.com/file/d/1NMdHpFUQWumKRA_ECkBNd9i0T8KFF8A0/view?usp=drivesdk
35804,2016-06-17,WestCoast Motors,WestCoast 20160617.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\WestCoast Motors\WestCoast 20160617.jpg,https://drive.google.com/file/d/1NMdHpFUQWumKRA_ECkBNd9i0T8KFF8A0/view?usp=drivesdk
36770,2016-10-07,Sanoma,Sanoma 20171230.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\Sanoma\Sanoma 20171230.png,https://drive.google.com/file/d/1ULMGnkepVDybOMbRp8J7T7x5SJF4mXzX/view?usp=drivesdk
39977,2017-12-30,Sanoma,Sanoma 20171230.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\Sanoma\Sanoma 20171230.png,https://drive.google.com/file/d/1ULMGnkepVDybOMbRp8J7T7x5SJF4mXzX/view?usp=drivesdk
39978,2017-12-30,Sanoma,Sanoma 20171230.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\Sanoma\Sanoma 20171230.png,https://drive.google.com/file/d/1ULMGnkepVDybOMbRp8J7T7x5SJF4mXzX/view?usp=drivesdk
36952,2016-11-11,MM Hoofddorp,Mediamarkt.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\MM Hoofddorp\Mediamarkt.jpg,https://drive.google.com/file/d/1VIUjqnceX76m7ydWIyYEFXr0a12w_9Ul/view?usp=drivesdk
36953,2016-11-11,MM Hoofddorp,Mediamarkt.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\MM Hoofddorp\Mediamarkt.jpg,https://drive.google.com/file/d/1VIUjqnceX76m7ydWIyYEFXr0a12w_9Ul/view?usp=drivesdk
36954,2016-10-31,MM Hoofddorp,Mediamarkt2.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\MM Hoofddorp\Mediamarkt2.jpg,https://drive.google.com/file/d/1NBo8tekCMw89_1wINAHnPJyrtiCRtWjf/view?usp=drivesdk
36955,2016-10-31,MM Hoofddorp,Mediamarkt2.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\MM Hoofddorp\Mediamarkt2.jpg,https://drive.google.com/file/d/1NBo8tekCMw89_1wINAHnPJyrtiCRtWjf/view?usp=drivesdk
36979,2016-12-01,De Zeeuw,55-MG-HN 2016.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\De Zeeuw\55-MG-HN 2016.jpg,https://drive.google.com/file/d/1umR0W44yh8mCyP7WzfSYaLIUJx0Vp9Dd/view?usp=drivesdk
37080,2016-12-10,WestCoast Motors,Westcoast 20161210.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\WestCoast Motors\Westcoast 20161210.jpg,https://drive.google.com/file/d/1K1qoiweWTiW6CSQTEjgIwOCI-cd-3gax/view?usp=drivesdk
37081,2016-12-10,WestCoast Motors,Westcoast 20161210.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\WestCoast Motors\Westcoast 20161210.jpg,https://drive.google.com/file/d/1K1qoiweWTiW6CSQTEjgIwOCI-cd-3gax/view?usp=drivesdk
37194,2016-12-12,WestCoast Motors,Westcoast 20161210.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\WestCoast Motors\Westcoast 20161210.jpg,https://drive.google.com/file/d/1K1qoiweWTiW6CSQTEjgIwOCI-cd-3gax/view?usp=drivesdk
37291,2016-12-12,WestCoast Motors,Westcoast 20161210.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\WestCoast Motors\Westcoast 20161210.jpg,https://drive.google.com/file/d/1K1qoiweWTiW6CSQTEjgIwOCI-cd-3gax/view?usp=drivesdk
37292,2016-12-12,WestCoast Motors,Westcoast 20161210.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\WestCoast Motors\Westcoast 20161210.jpg,https://drive.google.com/file/d/1K1qoiweWTiW6CSQTEjgIwOCI-cd-3gax/view?usp=drivesdk
39968,2017-12-30,WestCoast Motors,Westcoast 20161210.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\WestCoast Motors\Westcoast 20161210.jpg,https://drive.google.com/file/d/1K1qoiweWTiW6CSQTEjgIwOCI-cd-3gax/view?usp=drivesdk
39969,2017-12-30,WestCoast Motors,Westcoast 20161210.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\WestCoast Motors\Westcoast 20161210.jpg,https://drive.google.com/file/d/1K1qoiweWTiW6CSQTEjgIwOCI-cd-3gax/view?usp=drivesdk
37335,2016-12-30,Centr. Justitieel Incasso bureau,Office Lens 20161229-161059.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2016\Centr. Justitieel Incasso bureau\Office Lens 20161229-161059.jpg,https://drive.google.com/file/d/1Jl7dNK5QmNYyrTn1kJK-4BL_DXZDsbIA/view?usp=drivesdk
37562,2017-02-28,Google,Google 20170228.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2017\Google\Google 20170228.png,https://drive.google.com/file/d/1LQVYc6xjSvD0pdHXi9jDiwCW3g99-ldH/view?usp=drivesdk
37563,2017-02-28,Google,Google 20170228.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2017\Google\Google 20170228.png,https://drive.google.com/file/d/1LQVYc6xjSvD0pdHXi9jDiwCW3g99-ldH/view?usp=drivesdk
37820,2017-03-31,Google,Google 20170331.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2017\Google\Google 20170331.png,https://drive.google.com/file/d/1TkEzeWSGiciMcSldKDsVG53ia97q3aVy/view?usp=drivesdk
37821,2017-03-31,Google,Google 20170331.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2017\Google\Google 20170331.png,https://drive.google.com/file/d/1TkEzeWSGiciMcSldKDsVG53ia97q3aVy/view?usp=drivesdk
38005,2017-04-28,Google,Google 20170428.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2017\Google\Google 20170428.png,https://drive.google.com/file/d/10JXI1pzRUWBY4-hmWLf_W7ya4oyhjxql/view?usp=drivesdk
38006,2017-04-28,Google,Google 20170428.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2017\Google\Google 20170428.png,https://drive.google.com/file/d/10JXI1pzRUWBY4-hmWLf_W7ya4oyhjxql/view?usp=drivesdk
38117,2017-06-10,Brezan,Brezan kenttekenplaat 20170610.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2017\Brezan\Brezan kenttekenplaat 20170610.jpg,https://drive.google.com/file/d/1V0QtbhcVhC2yPOBZrtrX3vZWYzvGqMBT/view?usp=drivesdk
38118,2017-06-10,Brezan,Brezan kenttekenplaat 20170610.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2017\Brezan\Brezan kenttekenplaat 20170610.jpg,https://drive.google.com/file/d/1V0QtbhcVhC2yPOBZrtrX3vZWYzvGqMBT/view?usp=drivesdk
38364,2017-05-17,Centr. Justitieel Incasso bureau,CJIBbmw20170517.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2017\Centr. Justitieel Incasso bureau\CJIBbmw20170517.jpg,https://drive.google.com/file/d/1bBTaHU-YJ66tgU0fWnW7B-Gh8NgjFQu7/view?usp=drivesdk
38394,2017-06-29,Google,Google 20170629.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2017\Google\Google 20170629.png,https://drive.google.com/file/d/1UGC1Lt05nKLrOqbIetPnZa4b-1zqYkJP/view?usp=drivesdk
38395,2017-06-29,Google,Google 20170629.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2017\Google\Google 20170629.png,https://drive.google.com/file/d/1UGC1Lt05nKLrOqbIetPnZa4b-1zqYkJP/view?usp=drivesdk
38396,2017-05-29,Google,Google 20170529.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2017\Google\Google 20170529.png,https://drive.google.com/file/d/1JDXPc10RVGbIbplDSlwf212N0NOfbObO/view?usp=drivesdk
38397,2017-05-29,Google,Google 20170529.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2017\Google\Google 20170529.png,https://drive.google.com/file/d/1JDXPc10RVGbIbplDSlwf212N0NOfbObO/view?usp=drivesdk
38442,2017-06-22,Lidl,Lidl invalzaag.jpg,C:\Users\peter\OneDrive\Admin\reports\PeterPrive2017\Lidl\Lidl invalzaag.jpg,https://drive.google.com/file/d/1JUL-9V_FGTRISbfzgKDL2Iv6tyaItYn1/view?usp=drivesdk
38646,2017-07-29,Google,Google 20170729.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2017\Google\Google 20170729.png,https://drive.google.com/file/d/1k8SLxwSFLCPOzn6g3X-AB0CDF0k_h7pQ/view?usp=drivesdk
38647,2017-07-29,Google,Google 20170729.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2017\Google\Google 20170729.png,https://drive.google.com/file/d/1k8SLxwSFLCPOzn6g3X-AB0CDF0k_h7pQ/view?usp=drivesdk
38854,2017-08-29,Google,Google 20170829.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2017\Google\Google 20170829.png,https://drive.google.com/file/d/1k92Dcdmb3ZHLvNBkTVI8Jn8Bo5AgVMrM/view?usp=drivesdk
38855,2017-08-29,Google,Google 20170829.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2017\Google\Google 20170829.png,https://drive.google.com/file/d/1k92Dcdmb3ZHLvNBkTVI8Jn8Bo5AgVMrM/view?usp=drivesdk
38871,2017-09-10,SWOOP,Swoop 20170910.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2017\SWOOP\Swoop 20170910.png,https://drive.google.com/file/d/13VbmWrkd2bqLH_4N6SdkH93DOa0O1tmk/view?usp=drivesdk
38872,2017-09-10,SWOOP,Swoop 20170910.png,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2017\SWOOP\Swoop 20170910.png,https://drive.google.com/file/d/13VbmWrkd2bqLH_4N6SdkH93DOa0O1tmk/view?usp=drivesdk
39868,2018-01-02,Action,IMG_20180102_145822.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2018\Action\IMG_20180102_145822.jpg,https://drive.google.com/file/d/1ycM_RUCJ_atJTCuddrlhngXM7iZQ7Zce/view?usp=drivesdk
39869,2018-01-02,Action,IMG_20180102_145822.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2018\Action\IMG_20180102_145822.jpg,https://drive.google.com/file/d/1ycM_RUCJ_atJTCuddrlhngXM7iZQ7Zce/view?usp=drivesdk
39939,2018-01-02,Action,IMG_20180102_145822.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2018\Action\IMG_20180102_145822.jpg,https://drive.google.com/file/d/1ycM_RUCJ_atJTCuddrlhngXM7iZQ7Zce/view?usp=drivesdk
39870,2018-01-02,ALBERT HEIJN,IMG_20180102_151200.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2018\ALBERT HEIJN\IMG_20180102_151200.jpg,https://drive.google.com/file/d/1rUgfUsQKbgBe-EyRZOOhVT0hRMHieglN/view?usp=drivesdk
39871,2018-01-02,ALBERT HEIJN,IMG_20180102_151200.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2018\ALBERT HEIJN\IMG_20180102_151200.jpg,https://drive.google.com/file/d/1rUgfUsQKbgBe-EyRZOOhVT0hRMHieglN/view?usp=drivesdk
39981,2018-04-25,Gamma,IMG_20180425_140645.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2018\Gamma\IMG_20180425_140645.jpg,https://drive.google.com/file/d/1jznNOTmbUXxCNIRbdfatqsWHl2-FO-qP/view?usp=drivesdk
39982,2018-04-25,Gamma,IMG_20180425_140645.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2018\Gamma\IMG_20180425_140645.jpg,https://drive.google.com/file/d/1jznNOTmbUXxCNIRbdfatqsWHl2-FO-qP/view?usp=drivesdk
40169,2018-01-30,Schoenservice,IMG_20180130_114925.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2018\Schoenservice\IMG_20180130_114925.jpg,https://drive.google.com/file/d/1x8vjQjd3rLN8SVcxKVRS59yK4WZ9fsUv/view?usp=drivesdk
40170,2018-01-30,Schoenservice,IMG_20180130_114925.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2018\Schoenservice\IMG_20180130_114925.jpg,https://drive.google.com/file/d/1x8vjQjd3rLN8SVcxKVRS59yK4WZ9fsUv/view?usp=drivesdk
40209,2018-02-03,Action,IMG_20180203_110433.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2018\Action\IMG_20180203_110433.jpg,https://drive.google.com/file/d/1YpvqK6am02-WIsZeXruwmxhGDIkoOhH5/view?usp=drivesdk
40210,2018-02-03,Action,IMG_20180203_110433.jpg,C:\Users\peter\OneDrive\Admin\reports\GoodwinSolutions2018\Action\IMG_20180203_110433.jpg,https://drive.google.com/file/d/1YpvqK6am02-WIsZeXruwmxhGDIkoOhH5/view?usp=drivesdk
